10101EMP NAME - 101 MUMJAVA 1990010110101010101010
20202EMP NAME - 201 MUMJAVA 1990020220202020202020
10A01EMP NAME - 101 MUMJAVA 1990010110101010101010
20A02EMP NAME - 201 MUMJAVA 1990020220202020202020
10B01EMP NAME - 101 MUMJAVA 1990010110101010101010
20B02EMP NAME - 201 MUMJAVA 1990020220202020202020
30303EMP NAME - 304 MUMSAP  1990030330303030303030
40404EMP NAME - 405 MUMSAP  1990040440404040404040
30A03EMP NAME - 304 MUMSAP  1990030330303030303030
30B03EMP NAME - 304 MUMSAP  1990030330303030303030
40B04EMP NAME - 405 MUMSAP  1990040440404040404040
40A04EMP NAME - 405 MUMSAP  1990040440404040404040
50505EMP NAME - 505 PUNM/F  1990050550505050505050
60606EMP NAME - 606 PUNM/F  1990060660606060606060
50A05EMP NAME - 505 PUNM/F  1990050550505050505050
60A06EMP NAME - 606 PUNM/F  1990060660606060606060
50B05EMP NAME - 505 PUNM/F  1990050550505050505050
60B06EMP NAME - 606 PUNM/F  1990060660606060606060
70707EMP NAME - 707 PUNTEST 1990070770707070707070
80808EMP NAME - 808 PUNTEST 1990080880808080808080
70A07EMP NAME - 707 PUNTEST 1990070770707070707070
80A08EMP NAME - 808 PUNTEST 1990080880808080808080
70B07EMP NAME - 707 PUNTEST 1990070770707070707070
80B08EMP NAME - 808 PUNTEST 1990080880808080808080
